"","State","Year","Rate"
"96","Kansas","2022",2.5
"97","Kentucky","2017",4.8
"98","Kentucky","2018",4.2
"99","Kentucky","2019",4.1
"100","Kentucky","2020",6.4
"101","Kentucky","2021",4.7
"102","Kentucky","2022",4.2
"103","Louisiana","2017",5.1
"104","Louisiana","2018",4.8
"105","Louisiana","2019",4.6
"106","Louisiana","2020",8.8
"107","Louisiana","2021",5.5
"108","Louisiana","2022",4.3
"109","Maine","2017",3.4
"110","Maine","2018",3.1
"111","Maine","2019",2.8
"112","Maine","2020",5.1
"113","Maine","2021",4.6
"114","Maine","2022",3.9
"115","Maryland","2017",4
"116","Maryland","2018",3.7
"117","Maryland","2019",3.4
"118","Maryland","2020",6.7
"119","Maryland","2021",5.8
"120","Maryland","2022",5
"121","Massachusetts","2017",3.8
"122","Massachusetts","2018",3.5
"123","Massachusetts","2019",3.1
"124","Massachusetts","2020",9.4
"125","Massachusetts","2021",5.8
"126","Massachusetts","2022",4.6
"127","Michigan","2017",4.6
"128","Michigan","2018",4.2
"129","Michigan","2019",4.1
"130","Michigan","2020",10.1
"131","Michigan","2021",5.9
"132","Michigan","2022",4.7
"133","Minnesota","2017",3.5
"134","Minnesota","2018",3.1
"135","Minnesota","2019",3.4
"136","Minnesota","2020",6.4
"137","Minnesota","2021",3.4
"138","Minnesota","2022",2.7
"139","Mississippi","2017",5.2
"140","Mississippi","2018",5
"141","Mississippi","2019",5.4
"142","Mississippi","2020",8
"143","Mississippi","2021",5.6
"144","Mississippi","2022",4.4
"145","Missouri","2017",3.7
"146","Missouri","2018",3.2
"147","Missouri","2019",3.1
"148","Missouri","2020",6.1
"149","Missouri","2021",4.4
"150","Missouri","2022",3.7
"151","Montana","2017",4.1
"152","Montana","2018",3.8
"153","Montana","2019",3.6
"154","Montana","2020",5.8
"155","Montana","2021",3.4
"156","Montana","2022",2.5
"157","Nebraska","2017",3
"158","Nebraska","2018",2.9
"159","Nebraska","2019",3
"160","Nebraska","2020",4.1
"161","Nebraska","2021",2.5
"162","Nebraska","2022",2.1
"163","Nevada","2017",5
"164","Nevada","2018",4.4
"165","Nevada","2019",4
"166","Nevada","2020",13.8
"167","Nevada","2021",7.2
"168","Nevada","2022",5.1
"169","New Hampshire","2017",2.8
"170","New Hampshire","2018",2.6
"171","New Hampshire","2019",2.6
"172","New Hampshire","2020",6.8
"173","New Hampshire","2021",3.5
"174","New Hampshire","2022",2.7
"175","New Jersey","2017",4.5
"176","New Jersey","2018",4
"177","New Jersey","2019",3.4
"178","New Jersey","2020",9.5
"179","New Jersey","2021",6.4
"180","New Jersey","2022",4.6
"181","New Mexico","2017",6
"182","New Mexico","2018",4.9
"183","New Mexico","2019",4.9
"184","New Mexico","2020",8.1
"185","New Mexico","2021",6.8
"186","New Mexico","2022",5.6
"187","New York","2017",4.6
"188","New York","2018",4.1
"189","New York","2019",3.8
"190","New York","2020",9.9
"191","New York","2021",7
"192","New York","2022",4.9
"193","North Carolina","2017",4.5
"194","North Carolina","2018",4
"195","North Carolina","2019",3.8
"196","North Carolina","2020",7.2
"197","North Carolina","2021",4.8
"198","North Carolina","2022",3.7
"199","North Dakota","2017",2.6
"200","North Dakota","2018",2.4
"201","North Dakota","2019",2.1
"202","North Dakota","2020",5.1
"203","North Dakota","2021",3.7
"204","North Dakota","2022",3
"205","Ohio","2017",5
"206","Ohio","2018",4.5
"207","Ohio","2019",4.2
"208","Ohio","2020",8.3
"209","Ohio","2021",5.2
"210","Ohio","2022",4.2
"211","Oklahoma","2017",4
"212","Oklahoma","2018",3.3
"213","Oklahoma","2019",3.1
"214","Oklahoma","2020",6.2
"215","Oklahoma","2021",3.9
"216","Oklahoma","2022",2.7
"217","Oregon","2017",4.1
"218","Oregon","2018",4
"219","Oregon","2019",3.7
"220","Oregon","2020",7.6
"221","Oregon","2021",5.2
"222","Oregon","2022",4
"223","Pennsylvania","2017",5
"224","Pennsylvania","2018",4.4
"225","Pennsylvania","2019",4.5
"226","Pennsylvania","2020",9.1
"227","Pennsylvania","2021",6.4
"228","Pennsylvania","2022",5.1
"229","Rhode Island","2017",4.5
"230","Rhode Island","2018",4.1
"231","Rhode Island","2019",3.6
"232","Rhode Island","2020",9.2
"233","Rhode Island","2021",5.7
"234","Rhode Island","2022",3.8
"235","South Carolina","2017",4.2
"236","South Carolina","2018",3.4
"237","South Carolina","2019",2.8
"238","South Carolina","2020",6
"239","South Carolina","2021",4
"240","South Carolina","2022",3.5
"241","South Dakota","2017",3
"242","South Dakota","2018",2.8
"243","South Dakota","2019",2.8
"244","South Dakota","2020",4.4
"245","South Dakota","2021",3.1
"246","South Dakota","2022",2.6
"247","Tennessee","2017",3.8
"248","Tennessee","2018",3.5
"249","Tennessee","2019",3.4
"250","Tennessee","2020",7.4
"251","Tennessee","2021",4.3
"252","Tennessee","2022",3.4
"253","Texas","2017",4.3
"254","Texas","2018",3.9
"255","Texas","2019",3.5
"256","Texas","2020",7.7
"257","Texas","2021",5.7
"258","Texas","2022",4.6
"259","Utah","2017",3.2
"260","Utah","2018",2.9
"261","Utah","2019",2.6
"262","Utah","2020",4.7
"263","Utah","2021",2.7
"264","Utah","2022",2.1
"265","Vermont","2017",3
"266","Vermont","2018",2.6
"267","Vermont","2019",2.3
"268","Vermont","2020",5.6
"269","Vermont","2021",3.5
"270","Vermont","2022",2.9
"271","Virginia","2017",3.7
"272","Virginia","2018",3
"273","Virginia","2019",2.8
"274","Virginia","2020",6.2
"275","Virginia","2021",3.9
"276","Virginia","2022",3.2
"277","Washington","2017",4.6
"278","Washington","2018",4.4
"279","Washington","2019",4.3
"280","Washington","2020",8.5
"281","Washington","2021",5.3
"282","Washington","2022",4.3
"283","West Virginia","2017",5.2
"284","West Virginia","2018",5.2
"285","West Virginia","2019",4.9
"286","West Virginia","2020",8.2
"287","West Virginia","2021",5.1
"288","West Virginia","2022",3.9
"289","Wisconsin","2017",3.3
"290","Wisconsin","2018",3
"291","Wisconsin","2019",3.2
"292","Wisconsin","2020",6.3
"293","Wisconsin","2021",3.8
"294","Wisconsin","2022",2.9
"295","Wyoming","2017",4.3
"296","Wyoming","2018",4
"297","Wyoming","2019",3.8
"298","Wyoming","2020",5.8
"299","Wyoming","2021",4.5
"300","Wyoming","2022",3.6
