"State","Year","Rate"
"Maine","2017",3.4
"Maine","2018",3.1
"Maine","2019",2.8
"Maine","2020",5.1
"Maine","2021",4.6
"Maine","2022",3.9
"Maryland","2013",6.5
"Maryland","2014",5.7
"Maryland","2015",5
"Maryland","2016",4.3
"Maryland","2017",4
"Maryland","2018",3.7
"Maryland","2019",3.4
"Maryland","2020",6.7
"Maryland","2021",5.8
"Maryland","2022",5
"Massachusetts","2013",6.6
"Massachusetts","2014",5.7
"Massachusetts","2015",4.8
"Massachusetts","2016",4
"Massachusetts","2017",3.8
"Massachusetts","2018",3.5
"Massachusetts","2019",3.1
"Massachusetts","2020",9.4
"Massachusetts","2021",5.8
"Massachusetts","2022",4.6
"Michigan","2013",8.7
"Michigan","2014",7.2
"Michigan","2015",5.4
"Michigan","2016",5
"Michigan","2017",4.6
"Michigan","2018",4.2
"Michigan","2019",4.1
"Michigan","2020",10.1
"Michigan","2021",5.9
"Michigan","2022",4.7
"Minnesota","2013",5
"Minnesota","2014",4.3
"Minnesota","2015",3.8
"Minnesota","2016",3.9
"Minnesota","2017",3.5
"Minnesota","2018",3.1
"Minnesota","2019",3.4
"Minnesota","2020",6.4
"Minnesota","2021",3.4
"Minnesota","2022",2.7
"Mississippi","2013",8.5
"Mississippi","2014",7.6
"Mississippi","2015",6.5
"Mississippi","2016",6
"Mississippi","2017",5.2
"Mississippi","2018",5
"Mississippi","2019",5.4
"Mississippi","2020",8
"Mississippi","2021",5.6
"Mississippi","2022",4.4
"Missouri","2013",6.8
"Missouri","2014",6.2
"Missouri","2015",5.1
"Missouri","2016",4.6
"Missouri","2017",3.7
"Missouri","2018",3.2
"Missouri","2019",3.1
"Missouri","2020",6.1
"Missouri","2021",4.4
"Missouri","2022",3.7
"Montana","2013",5.3
"Montana","2014",4.7
"Montana","2015",4.3
"Montana","2016",4.3
"Montana","2017",4.1
"Montana","2018",3.8
"Montana","2019",3.6
"Montana","2020",5.8
"Montana","2021",3.4
"Montana","2022",2.5
"Nebraska","2013",3.7
"Nebraska","2014",3.2
"Nebraska","2015",3
"Nebraska","2016",3.1
"Nebraska","2017",3
"Nebraska","2018",2.9
"Nebraska","2019",3
"Nebraska","2020",4.1
"Nebraska","2021",2.5
"Nebraska","2022",2.1
"Nevada","2013",10
"Nevada","2014",8.2
"Nevada","2015",6.8
"Nevada","2016",5.8
"Nevada","2017",5
"Nevada","2018",4.4
"Nevada","2019",4
"Nevada","2020",13.8
"Nevada","2021",7.2
"Nevada","2022",5.1
"New Hampshire","2013",5.2
"New Hampshire","2014",4.3
"New Hampshire","2015",3.4
"New Hampshire","2016",2.9
"New Hampshire","2017",2.8
"New Hampshire","2018",2.6
"New Hampshire","2019",2.6
"New Hampshire","2020",6.8
"New Hampshire","2021",3.5
"New Hampshire","2022",2.7
"New Jersey","2013",8.4
"New Jersey","2014",6.7
"New Jersey","2015",5.7
"New Jersey","2016",4.9
"New Jersey","2017",4.5
"New Jersey","2018",4
"New Jersey","2019",3.4
"New Jersey","2020",9.5
"New Jersey","2021",6.4
"New Jersey","2022",4.6
"New Mexico","2013",6.9
"New Mexico","2014",6.6
"New Mexico","2015",6.6
"New Mexico","2016",6.8
"New Mexico","2017",6
"New Mexico","2018",4.9
"New Mexico","2019",4.9
"New Mexico","2020",8.1
"New Mexico","2021",6.8
"New Mexico","2022",5.6
"New York","2013",7.8
"New York","2014",6.3
"New York","2015",5.2
"New York","2016",4.9
"New York","2017",4.6
"New York","2018",4.1
"New York","2019",3.8
"New York","2020",9.9
"New York","2021",7
"New York","2022",4.9
"North Carolina","2013",7.7
"North Carolina","2014",6.1
"North Carolina","2015",5.7
"North Carolina","2016",5.1
"North Carolina","2017",4.5
"North Carolina","2018",4
"North Carolina","2019",3.8
"North Carolina","2020",7.2
"North Carolina","2021",4.8
"North Carolina","2022",3.7
"North Dakota","2013",2.9
"North Dakota","2014",2.6
"North Dakota","2015",2.8
"North Dakota","2016",3.1
"North Dakota","2017",2.6
"North Dakota","2018",2.4
"North Dakota","2019",2.1
"North Dakota","2020",5.1
"North Dakota","2021",3.7
"North Dakota","2022",3
"Ohio","2013",7.5
"Ohio","2014",5.8
"Ohio","2015",5
"Ohio","2016",5.1
"Ohio","2017",5
"Ohio","2018",4.5
"Ohio","2019",4.2
"Ohio","2020",8.3
"Ohio","2021",5.2
"Ohio","2022",4.2
"Oklahoma","2013",5.1
"Oklahoma","2014",4.3
"Oklahoma","2015",4.3
"Oklahoma","2016",4.7
"Oklahoma","2017",4
"Oklahoma","2018",3.3
"Oklahoma","2019",3.1
"Oklahoma","2020",6.2
"Oklahoma","2021",3.9
"Oklahoma","2022",2.7
"Oregon","2013",7.8
"Oregon","2014",6.6
"Oregon","2015",5.5
"Oregon","2016",4.8
"Oregon","2017",4.1
"Oregon","2018",4
"Oregon","2019",3.7
"Oregon","2020",7.6
"Oregon","2021",5.2
"Oregon","2022",4
"Pennsylvania","2013",7.1
"Pennsylvania","2014",5.9
"Pennsylvania","2015",5.4
"Pennsylvania","2016",5.3
"Pennsylvania","2017",5
"Pennsylvania","2018",4.4
"Pennsylvania","2019",4.5
"Pennsylvania","2020",9.1
"Pennsylvania","2021",6.4
"Pennsylvania","2022",5.1
"Rhode Island","2013",9.5
"Rhode Island","2014",7.8
"Rhode Island","2015",6
"Rhode Island","2016",5.2
"Rhode Island","2017",4.5
"Rhode Island","2018",4.1
"Rhode Island","2019",3.6
"Rhode Island","2020",9.2
"Rhode Island","2021",5.7
"Rhode Island","2022",3.8
"South Carolina","2013",7.4
"South Carolina","2014",6.3
"South Carolina","2015",5.9
"South Carolina","2016",4.9
"South Carolina","2017",4.2
"South Carolina","2018",3.4
"South Carolina","2019",2.8
"South Carolina","2020",6
"South Carolina","2021",4
"South Carolina","2022",3.5
"South Dakota","2013",3.7
"South Dakota","2014",3.3
"South Dakota","2015",3
"South Dakota","2016",3
"South Dakota","2017",3
"South Dakota","2018",2.8
"South Dakota","2019",2.8
"South Dakota","2020",4.4
"South Dakota","2021",3.1
"South Dakota","2022",2.6
"Tennessee","2013",7.7
"Tennessee","2014",6.6
"Tennessee","2015",5.6
"Tennessee","2016",4.8
"Tennessee","2017",3.8
"Tennessee","2018",3.5
"Tennessee","2019",3.4
"Tennessee","2020",7.4
"Tennessee","2021",4.3
"Tennessee","2022",3.4
"Texas","2013",6.3
"Texas","2014",5.2
"Texas","2015",4.5
"Texas","2016",4.7
"Texas","2017",4.3
"Texas","2018",3.9
"Texas","2019",3.5
"Texas","2020",7.7
"Texas","2021",5.7
"Texas","2022",4.6
"Utah","2013",4.2
"Utah","2014",3.6
"Utah","2015",3.5
"Utah","2016",3.4
"Utah","2017",3.2
"Utah","2018",2.9
"Utah","2019",2.6
"Utah","2020",4.7
"Utah","2021",2.7
"Utah","2022",2.1
"Vermont","2013",4.4
"Vermont","2014",4
"Vermont","2015",3.5
"Vermont","2016",3.1
"Vermont","2017",3
"Vermont","2018",2.6
"Vermont","2019",2.3
"Vermont","2020",5.6
"Vermont","2021",3.5
"Vermont","2022",2.9
"Virginia","2013",5.6
"Virginia","2014",5.1
"Virginia","2015",4.4
"Virginia","2016",4
"Virginia","2017",3.7
"Virginia","2018",3
"Virginia","2019",2.8
"Virginia","2020",6.2
"Virginia","2021",3.9
"Virginia","2022",3.2
"Washington","2013",6.6
"Washington","2014",5.9
"Washington","2015",5.4
"Washington","2016",5.2
"Washington","2017",4.6
"Washington","2018",4.4
"Washington","2019",4.3
"Washington","2020",8.5
"Washington","2021",5.3
"Washington","2022",4.3
"West Virginia","2013",6.7
"West Virginia","2014",6.5
"West Virginia","2015",6.6
"West Virginia","2016",6.1
"West Virginia","2017",5.2
"West Virginia","2018",5.2
"West Virginia","2019",4.9
"West Virginia","2020",8.2
"West Virginia","2021",5.1
"West Virginia","2022",3.9
"Wisconsin","2013",6.6
"Wisconsin","2014",5.3
"Wisconsin","2015",4.4
"Wisconsin","2016",3.9
"Wisconsin","2017",3.3
"Wisconsin","2018",3
"Wisconsin","2019",3.2
"Wisconsin","2020",6.3
"Wisconsin","2021",3.8
"Wisconsin","2022",2.9
"Wyoming","2013",4.7
"Wyoming","2014",4.3
"Wyoming","2015",4.2
"Wyoming","2016",5.3
"Wyoming","2017",4.3
"Wyoming","2018",4
"Wyoming","2019",3.8
"Wyoming","2020",5.8
"Wyoming","2021",4.5
"Wyoming","2022",3.6
"United States","2013",6.7
"United States","2014",5.7
"United States","2015",5
"United States","2016",4.6
"United States","2017",4.1
"United States","2018",3.7
"United States","2019",3.5
"United States","2020",7.4
"United States","2021",4.8
"United States","2022",3.8
